,type_avion,consommation_carburant
0,B738,0.6684382220529047
1,E190,0.4537131868169959
2,A320,0.6439927426888494
3,A320,0.7417842322130211
4,B738,0.6443357123390256
5,B738,0.6898984699631988
6,A320,0.7117021587589354
7,A320,0.7752812476124844
8,A320,0.7291279264154733
9,A320,0.8037106254995231
12,A319,0.8132762264862761
13,A319,0.6320855738465048
14,A319,0.8187683228366434
15,A319,0.7642575962529163
16,A320,0.6389484099446675
17,A320,0.7468941746205652
21,A321,0.8358533449880519
22,A321,0.9279549860155379
23,A321,0.9085403908334336
24,A321,0.9439119111541975
25,A321,0.8420591827562003
26,A321,0.9755998205968075
27,A319,0.7895439154554269
28,A319,0.709531564552475
29,A319,0.8190791405270759
30,A319,0.8221893376219561
31,A319,0.8173156409409735
32,A319,2.3220065870480013
33,A319,0.7310905406988684
34,A319,0.6403037564761149
35,A319,0.6621444652026299
36,A319,0.7687879465943696
37,A319,0.8356521932006667
38,A321,2.734762990717679
39,A321,0.8454575758052626
40,A321,0.86018778586677
41,A321,0.9821085139665174
42,A321,2.73476299071768
43,A321,0.8339581323966136
61,A320,0.7549217976848243
62,A320,0.571279511863337
63,A320,0.7196733048972163
64,A320,0.6505005788771898
65,A320,0.6729620119871886
66,A320,0.5773585425217291
67,A320,0.7677393396365152
68,A320,0.6643790386847208
69,A320,0.6543655565201767
70,A320,0.5813501151653737
71,A320,0.8478780720304463
72,A320,0.6459251452936986
73,A320,0.6685735788983305
74,A320,0.6679883986484944
75,A320,0.6984918222863665
76,A320,0.7009832777979327
77,A320,0.668259134475064
78,A320,0.6964283619703777
79,A320,0.7424181028319636
80,A320,0.6525558496981145
81,A320,0.6537600620380278
101,A319,0.7184053662595352
102,A319,0.7613017961040922
103,A319,0.7827876683144428
106,A320,0.6954299735433337
107,A320,0.5709512631395137
108,B752,1.3268010494137283
109,B752,1.5497568913485817
114,A321,0.8723323757646876
115,A319,0.6102179798134864
116,A319,0.650668368424394
117,A320,0.6648531120205636
118,A320,0.7120835187453666
120,A320,0.7995020062853746
121,A320,0.6491345135057403
122,A320,0.6680985747388208
123,A320,0.7611099183076411
124,A319,0.8012596104197249
125,A319,0.578584745044555
126,A319,0.7754446753793387
127,A319,0.7207035486895399
128,A319,0.7301237608498211
129,A319,0.6325184721879603
130,A320,0.6596915601153331
131,A320,0.6763967088195851
132,A319,0.6808987499206989
133,A319,0.8004350231436498
134,A319,0.8441164748229744
135,A319,0.8943149348883892
136,A319,0.7431290711257652
137,A319,0.75512893080355
138,A319,0.7431625834862383
139,A319,0.7290205763605949
140,A320,0.6999138671077428
141,A320,0.7576864552096193
142,A320,0.6719851939650079
143,A320,0.7439060448692588
144,A320,0.70016523819519
145,A320,0.9191087158935541
146,A319,0.7181859351855784
147,A319,0.7141116273911635
148,A319,0.7717783589813062
149,A319,0.7787765956247203
150,E190,0.5965069483523507
151,E190,0.4876938089507072
152,E190,0.5238244168007608
153,E190,0.6216710767301551
154,E190,0.4726547119544003
155,E190,0.4899090546525763
156,E190,0.5187874881772986
157,E190,0.556559091863603
158,E190,0.5324052721448663
159,A321,0.9272758072481234
160,A321,0.8837162326653785
161,B738,0.7900450208749583
162,B738,0.8149834522418368
163,B738,0.6708661249686413
164,B738,0.693158496608629
165,B738,0.8103449820069846
166,B738,0.8030966801436684
167,B738,0.6164466539242077
168,B738,0.6373014093119943
169,B738,0.7887445280032062
170,B738,0.8441999725351879
171,B738,0.8454874827784271
172,B738,0.8446360790144284
173,B738,0.9689433456205209
174,B738,0.7170164110691554
175,B738,0.7406480297516858
176,B738,0.7385697706175289
177,B738,0.6303803149323028
178,B738,0.8488251363568529
179,B738,0.9000766178153629
180,B738,0.7015437213784402
