,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,E190,1661.0402983233655,648.8026570142074,0.4430847413755556,5.72892331418537,3.2184150026316796,0.20768767737300217
1,E190,2175.9511475052063,849.9269328140373,0.5804379053364156,8.929820778587287,2.274899496478284,0.11833936864347903
2,A320,2099.253872172739,819.9689624555314,0.5599788036281674,9.378846456639515,4.065264335683397,0.4352640718222592
3,A320,2562.7224103353583,1000.9998617696064,0.6836096616963164,12.959756807680868,2.222592653160191,0.20243473021707864
8,B738,1761.429820180628,688.0148233795404,0.46986378182017385,5.872616766039736,2.7833952964806308,0.2520585683951963
9,B738,2363.191766210459,923.0631541565141,0.6303845930824975,9.916981919605922,1.6030963635123996,0.13276420674360048
12,A319,2858.883444532138,1116.6804181564085,0.7626110172775474,13.95074265206293,3.208359821244914,0.13769278798458662
13,A319,2535.365249423116,990.3141495047419,0.6763121021007993,11.023370075402585,3.3999996288598595,0.14132531022137393
14,A320,2156.953235652602,842.506344824611,0.5753701867094911,9.713989303788775,3.1103242899633217,0.3088601737058414
15,A320,7068.542161034376,2760.9739149165694,1.8855431614064384,62.337306018315495,1.1279344403656648,0.22558688807313307
16,A320,2640.676776003454,1031.4488518527312,0.7044040939482066,13.978883276234118,2.126398593896784,0.19381625590751408
17,A319,7340.379254468077,2867.1535354067114,1.958056072960681,50.492695887307775,0.5856557545404901,0.046852460363239194
18,A319,2397.4222079612396,936.433571226524,0.6395156096181137,9.260358246113123,3.024239371371835,0.1073001329536469
19,A319,1541.1668549320896,601.980067185287,0.41110833856556184,3.998885317396472,5.19334625720261,0.25012059945466325
20,A319,1971.5715045783195,770.0962053449766,0.5259193597477886,6.084747554038007,2.8276853969965767,0.07477065731696676
21,A319,2307.9424856349483,901.4827746367055,0.6156467729226284,9.30202941729323,3.6321493598524173,0.15149775719553915
22,A319,1844.8844131072017,720.612203277821,0.4921254071165604,5.44681956780606,3.2064182833130555,0.09840059766528876
23,A320,1736.6121266637338,678.321027563161,0.4632436285797194,5.697411020023686,3.2350966824786482,0.3032951825442317
25,A320,1929.978876956205,753.8501170708582,0.5148244701947322,6.84717687007942,2.7229776517834448,0.23706242464627097
26,A320,1793.4892338585203,700.5372364706188,0.47841567368725213,5.938916156281041,3.63442869906425,0.36077769807785875
27,A320,1738.1777619592156,678.9325650078866,0.46366126390782475,5.698408645336241,2.7346441981692573,0.2308004509377675
28,A320,1698.5441645200347,663.4516742964897,0.4530889483000412,5.456500833332589,2.944848490396503,0.26135761053002055
29,A321,2881.294501119458,1125.4341811295435,0.7685891968689565,17.683364556048723,2.3417823104611437,0.2559534342208732
30,A321,2818.9259588927434,1101.0730166522949,0.7519523040552262,16.140778765108312,2.4098402414560987,0.25659703723825433
31,A321,3008.8364127024943,1175.2520760952898,0.8026111739187342,19.430212533643953,2.650760202561099,0.2919360403918811
32,A321,2609.8023551395977,1019.3892971805981,0.6961683005135791,13.870508592175275,2.137279965984416,0.2219720702490354
33,A321,2875.379088927216,1123.1236200001501,0.7670112526830296,16.602197078945352,2.3374177005298864,0.2500337938915829
34,A321,2951.124005535418,1152.7095988594986,0.7872163114162426,18.1961984062809,1.8855280533446617,0.20145375092693737
35,A319,7348.458247575108,2870.3091916536628,1.9602111552756716,50.571172755452615,0.5867170070352135,0.046937360562817096
36,A319,2317.3918144172208,905.1736842595061,0.6181673941284425,8.817790522173883,3.0835572376599227,0.10712979443643039
37,A319,2463.8440627563996,962.3779603653134,0.6572337290299703,10.285944234848957,2.502303485390613,0.07146961097628728
38,A319,6008.431019098145,2346.894300886224,1.6027570835320555,38.19620771214328,0.5699599579173608,0.048774324891929864
41,A321,2722.897142498299,1063.5641426716118,0.7263364876781745,14.670214603944908,2.194183589979683,0.22796300270967781
42,A321,2824.0717176801177,1103.082951015098,0.753324942156652,16.3899356443511,2.531041509177261,0.2724749314051507
43,A321,2803.414815181812,1095.0143609633633,0.7478146855359556,16.361677489215484,2.0611127146999584,0.21926086817024545
44,A321,2697.2083113569197,1053.5300803331234,0.7194839573006705,14.782346813356693,2.3729143107716513,0.25373034632552044
45,A321,2738.1877592709416,1069.5366604964304,0.7304152803390255,14.860682597862962,2.268351587507927,0.23717440710522064
57,A320,2339.3131526815764,913.7361631623818,0.6240149406962604,11.768608696911155,3.78418618036158,0.4078859735332669
58,A320,2826.713185238751,1104.1147087467973,0.7540295571929347,16.380516747610788,2.3466036034648186,0.23458434411211737
59,A320,2157.6465518738596,842.7771542727377,0.575555129747235,9.92508000791369,3.0702556857960612,0.3041688371341191
60,A320,2364.513308317086,923.5793487551659,0.6307371162230397,11.330311521047063,2.989436756343686,0.2962995463363432
61,A320,2127.3572866220893,830.9461614941791,0.567475427361878,9.344845723252405,2.8134704283286456,0.2651044794250369
62,A320,2261.9069125018837,883.5012709994653,0.6033667216581708,10.34724390292197,2.9710141101386416,0.29072563822079595
63,A320,2237.750378576467,874.065724245493,0.5969229336310677,10.195044005370415,2.7553575539784427,0.2600494659697251
64,A320,2225.0146868787615,869.0911606417526,0.5935256706821717,9.98002814666105,3.002302730483835,0.2922636667633259
65,A320,2237.0961650299137,873.8101883095575,0.5967484212845752,10.555485521981126,2.940317283172146,0.28877510190600236
70,A319,2437.7390090039958,952.1813213956545,0.6502701707092278,10.336602201972614,3.8027397316425446,0.16667591080910024
71,A319,2928.3232008285063,1143.8036001965909,0.7811341659879157,14.164527737551015,2.6486868282418303,0.09907939851730799
72,A320,2393.9161224320646,935.0640935507904,0.6385803565712717,12.043934793133284,3.0195124407112837,0.3041316336459473
73,A320,1676.6562266290507,654.9022415858151,0.44725031132689813,5.2446685409481235,4.313035440259125,0.45046875150449006
74,A320,1753.3194381032179,684.8469065947792,0.467700326454971,5.764397166834451,2.6753251745145734,0.22779177990674887
75,A320,2103.532604799753,821.640236234899,0.5611201613311501,9.562285165038134,3.5819148766954156,0.37264802928128377
76,A320,2112.0054550459913,824.9497331554694,0.5633803055695883,9.145235649254316,2.5003003191051074,0.22212143422427372
77,B752,4368.773860864835,1706.4439024654653,1.1653763236349506,18.810426436729983,3.061523724871545,0.05637794844399496
79,A319,2452.274378855339,957.8588396291092,0.6541475002345126,9.550334446101012,2.9218597080787374,0.10098971732933978
80,A321,2772.9577655963644,1083.1178315921002,0.7396902264531415,15.44754020970598,1.8818960085553076,0.19842551338684378
81,A319,2327.7648699788074,909.2254017383078,0.6209344206993326,9.01290263046658,2.9525583105874347,0.09868878484192424
82,A319,2547.192690841373,994.9339503762761,0.6794670880618463,10.491865571105842,2.9098397618442413,0.10165636635518567
83,A320,2571.2240965404076,1004.3206220211823,0.6858774979656849,13.384148592306625,2.1310419162261343,0.1919679287592602
84,A320,1799.5110863602438,702.8893732051756,0.4800220109693881,6.075261585508,2.037954075672172,0.1293487592084987
85,A320,2132.9795114583508,833.142203586462,0.5689751634248993,9.433714557027818,3.2320198784346577,0.3214406748800644
