,type_avion,consommation_carburant
0,B738,0.8425689746999566
1,A320,0.5827129103442872
2,A320,0.606897676838103
3,A320,0.6607841921334096
4,B738,0.6064555984166201
5,B738,0.6701862341521322
6,B738,0.6868780401876394
7,B738,0.7610462418227008
8,B738,0.9852221696327378
9,A320,0.6886893236323322
10,A320,0.8082966769282026
13,A319,0.7084466201477824
14,A319,0.833798826998938
15,A320,0.6353334654279952
16,A320,0.7180569535727852
17,A319,0.6372494459773328
18,A319,0.5647355078570142
19,A319,0.619308554174818
20,A319,0.5595329232648599
21,A319,0.6428426196539364
22,A319,0.5929251686742516
23,A320,0.8364699204016195
24,A320,0.6649858955501687
25,A320,0.5737412582937239
29,A321,1.0373489641979907
30,A321,0.6195858725314716
31,A321,0.8190892571037073
32,A321,0.8453748183860865
33,A321,0.6916239185997208
34,A321,0.7421951096833366
35,A321,0.738014442198262
36,A321,0.8232481472628053
37,A321,0.9274810948909394
38,A321,0.6898757068846849
39,A321,0.7364547377300391
40,A319,0.6883339364436186
41,A319,0.7737681682293618
42,A319,0.731899749411878
43,A319,0.9688909441762157
47,A321,0.8604704218620686
48,A321,0.8177305386122569
63,B738,2.470944144605465
64,B738,0.6658016471435195
65,B738,0.89551932685473
70,A320,0.8093681891013453
71,A320,0.7060471205500204
72,A320,0.6964045784210556
73,A320,0.7219200935253413
74,A320,0.7878464912729273
75,A320,0.705351884006481
76,A320,0.5705216539378327
77,A320,0.6759722316698175
78,A320,0.7783650926865702
79,A320,0.7138803287899083
80,A320,0.6421162109352584
81,A320,0.5494214787359236
82,A320,0.6745348652563757
83,A320,0.6560577389596901
84,A320,0.7477671940177717
85,A320,0.6543588888523058
86,A320,0.8085961414287228
95,A319,0.7090254467536083
96,A319,0.5381675057623586
97,A319,0.6110673961445464
98,A319,0.6263826822737889
99,A319,0.5714192259662929
100,A319,0.7723044231190848
101,A319,0.8236580990200739
102,A319,0.8337789102088785
103,A319,0.7033786925030638
104,A320,0.5804233963448302
105,A320,0.7055017814208223
106,A320,0.7335544090518491
107,A320,0.7018453524309012
108,A320,0.9086766104345586
109,A320,0.9007320244204196
110,B752,1.3500230501182293
111,B752,1.394015296528733
114,A320,0.673747272481154
115,A321,0.9359278679070357
116,A319,0.9391878833021986
117,A319,0.6925514643278896
118,A320,0.6539691349177884
119,A320,0.7596235089832899
120,A320,0.5793389162864887
122,A320,0.6958814019942877
123,A320,0.9841799650143027
124,A320,0.5398879251190061
125,A320,0.5863720022502444
126,A320,0.548650813774387
127,A319,0.9007168462043326
128,A319,0.7080390060353259
129,A319,0.6009777493820723
130,A319,0.7066206166275203
131,A319,0.6401750212778966
132,A319,0.8367601991981614
133,A319,0.6897337897631627
134,A319,0.7779945656137964
135,A319,0.7756573401658051
136,A319,0.7432819716104069
137,A319,0.6743549669477136
138,A319,0.6364631123090887
139,A319,0.6100340249137125
140,A319,0.7142638268607602
141,A320,0.8016161589622731
142,A320,0.741171608823926
143,A320,0.6938162190161459
144,A320,0.9257404763312549
145,A320,0.5875287708367779
146,A320,2.19011981602566
147,A320,0.5902372594456378
148,A320,0.5496979383267042
149,A320,0.7737525360639581
150,A320,0.6414902046282935
151,A320,0.8181454032017458
152,A319,0.8121966247866601
153,A320,0.6859139199630963
154,A319,0.6816587540585571
155,A319,0.8960532807027365
156,A319,0.5967380347163083
157,A319,0.6434369643414671
160,E190,0.5225514399458896
161,E190,0.6178955907946033
162,E190,0.47231034694859364
163,E190,0.4850228312925253
164,E190,0.5724871166377482
165,E190,0.5378005830747242
166,E190,0.6268966372458717
167,A320,0.7531491861389107
168,A320,0.6688712247871944
169,B738,0.7552700424952414
170,B738,0.9466987877384825
171,B738,0.8498465033701853
172,B738,0.7523686949976803
173,B738,0.8111711070146057
174,B738,0.9234435293201917
175,B738,0.7300854845039534
176,B738,0.9338077041624917
177,B738,0.6260219615291166
178,B738,0.6784612130032207
179,B738,0.6545990800704635
180,B738,0.9299644018267154
181,B738,0.9337107390476465
182,B738,0.8065424570455307
183,B738,0.6055437382069242
184,B738,0.730996249783325
185,B738,0.8970712944655235
186,B738,0.806990664841573
187,A320,0.7184544486664585
188,A320,0.8204517589158055
189,B737,0.8772335358377923
