,type_avion,age_avion,nombre_passagers,consommation_carburant
0,B738,2009.0,153.0,0.6638257888263054
4,A319,,,1.4380380332423186
6,A321,1994.0,,0.745348281998365
7,A321,1995.0,,0.6086802054027683
8,A321,1995.0,,0.9138430496618233
9,A321,,,0.9555883231382867
10,A319,2000.0,,0.7791580722464022
11,A319,2000.0,,1.1424982988211787
12,A319,2000.0,,0.8105979537068537
13,A319,2000.0,,0.6910149918261418
14,A319,2000.0,,0.7624793585816091
18,A321,2008.0,,1.336200105829949
19,A321,2008.0,,0.9106558428513764
20,A321,2008.0,,0.7194661337472306
29,A320,2011.0,,0.6902745661141017
30,A320,2011.0,,2.243207236444925
31,A320,2011.0,,0.9478942996870567
32,A320,2011.0,,0.6556124608866295
33,A320,2011.0,,0.6953025355938252
34,A320,2011.0,,0.5538937331994811
35,A320,2013.0,,0.6997484279703882
36,A320,2013.0,,0.7137421541062766
38,A319,1997.0,138.0,0.9462796223390062
41,A319,2006.0,156.0,0.7417331939641427
42,A319,2006.0,156.0,0.7467133039675281
45,A319,2006.0,156.0,0.8485966606799613
46,A319,2006.0,156.0,0.7641334620356144
47,A319,,,0.524680571255056
48,A319,,,0.8140536411400167
49,A319,,,1.3212735252455525
50,A319,,,0.7592360418054054
51,A319,,,0.8199388826421241
52,A320,2015.0,,0.4344869719077867
53,A320,2015.0,,0.7187407137016947
54,A320,,,0.48119861681817794
55,A320,,,0.710812014437148
56,A319,,,0.8539027016853434
57,E190,2012.0,,0.620882294458983
58,B737,2010.0,129.0,2.4360737890835193
59,B737,2010.0,129.0,0.7194957201124359
60,E190,,,1.6133169748046134
62,B738,2010.0,189.0,0.6207676633998322
63,B738,2010.0,189.0,0.656890071688233
64,B738,2012.0,189.0,1.0168994006605279
65,B738,,,1.00305643893436
66,B738,2017.0,189.0,1.5669913206687989
67,B738,2017.0,189.0,1.0525183950067303
68,B738,2017.0,189.0,0.8872195130906213
