,type_avion,age_avion,nombre_passagers,consommation_carburant
0,E190,2014.0,,0.5396538344679039
1,E190,2014.0,,0.6235206002954717
2,B738,2000.0,,0.8797003015673557
3,B738,2000.0,,0.9628713589629548
11,A319,,,0.8247977343711778
12,A319,,,0.712832991679242
13,A319,,,0.6648088993328277
14,A319,,,0.6575984260103637
15,A319,,,0.8101292438807278
16,A319,,,0.7880077664048731
17,A319,,,0.9451042897314882
18,A319,,,0.7923395574049463
24,A320,2001.0,,0.8486739041005957
25,A320,2002.0,,0.7186719598804101
26,A320,2002.0,,0.7558853359208267
27,A320,2002.0,,0.6787882311734764
28,A320,2002.0,,0.6919954063344378
29,A320,2002.0,,0.6657447965203217
30,A320,2002.0,,0.7110540302682055
31,A320,2002.0,,0.6755491215228013
32,A321,1995.0,,0.8572505355577911
33,A321,1995.0,,0.8323624457360916
34,A321,1995.0,,0.8572280202678374
35,A321,1995.0,,0.9277634864082441
36,A321,1995.0,,0.8202395096930176
37,A321,1995.0,,0.8105889541766856
38,A321,,,0.8510115001383307
39,A321,,,0.8343419920658672
40,A321,,,0.8733240074047485
41,A321,,,0.8863729994787111
42,A321,,,0.8989386908458464
43,A321,,,0.9330005164598081
44,A321,,,0.9263962158030647
45,A321,1995.0,,0.9235224789340576
46,A319,1999.0,138.0,0.7759334328528349
47,A319,2000.0,,0.7021375144714042
48,A319,2000.0,,0.7627149516517672
49,A319,2000.0,,0.6608870858013857
50,A319,2001.0,,0.8350109660355238
53,A321,2008.0,,0.857045900508517
54,A321,2008.0,,0.7387921029475287
55,A321,2008.0,,0.853473046630642
56,A321,2008.0,,0.9187090053919383
57,A321,2008.0,,0.7509693129972415
58,A321,2008.0,,0.9133555567934919
70,A320,2011.0,,0.6757126862670176
71,A320,2011.0,,0.6949568654776135
72,A320,2011.0,,0.8670117453604227
73,A320,2011.0,,0.6914673014033045
74,A320,2011.0,,0.8937941740210379
75,A320,2011.0,,0.9263671149000524
76,A320,2011.0,,0.6672972699509206
77,A320,2011.0,,0.6691159434243926
78,A320,2011.0,,0.6574500355470314
79,A320,2011.0,,0.697549689266275
80,A320,2010.0,,0.7459438504558498
81,A320,2010.0,,0.6918874712813184
82,A320,2010.0,165.0,0.7062159496400615
83,A320,2010.0,165.0,0.6383523680112037
84,A320,2010.0,165.0,0.696343227626274
95,A321,,,0.7431478263013493
96,A319,,,0.7969307853614837
97,A319,,,0.5876044143324759
98,A319,,,0.9708013102170014
99,A319,,,0.7767536501648483
100,A319,2012.0,138.0,0.7732855780117066
101,A319,,,0.7531656285481299
102,A319,,,0.9774253248459781
103,A319,1997.0,138.0,0.9861334361512526
105,A320,2019.0,180.0,0.6149174691051352
106,B752,1998.0,178.0,1.31364142538249
107,B752,1998.0,178.0,1.3784446529621683
111,A320,2002.0,,0.6794358468406065
112,A319,2007.0,156.0,0.8555046717847079
113,A319,2007.0,156.0,0.7259419600932165
114,A320,2013.0,162.0,0.6846412478735745
115,A320,2013.0,162.0,0.7111740769642251
116,A320,,,0.7850872484737383
117,A320,,,0.682387732586609
118,A319,,,0.8843010361556294
119,A319,,,0.6763827043811858
120,A320,,,0.6048349337046609
121,A320,,,0.556237854600708
124,A319,,,0.5912265282764834
125,A319,,,0.7226170625092305
126,A319,,,0.910769733087202
127,A319,,,0.6089169722942381
128,A319,,,0.7460967191810821
129,A319,,,0.8253774667722371
130,A319,2004.0,156.0,0.7653204440925736
131,A319,2004.0,156.0,0.6830482173264559
132,A319,2004.0,156.0,0.7104419883978459
133,E190,,,0.5925968802455752
134,E190,,,0.5151899510224912
135,E190,,,0.46639626292705116
138,E190,2011.0,,0.5728794509399419
141,B738,2004.0,189.0,0.780844374433837
142,B738,2004.0,189.0,0.9458826710952833
143,B738,2007.0,189.0,0.9814692294639988
144,B738,2007.0,189.0,0.752562308987591
145,B738,2010.0,189.0,0.9095160521531291
146,B738,2010.0,189.0,0.7724569964568118
149,B738,2018.0,189.0,1.0571085247100602
150,B738,2018.0,189.0,0.836125018769869
