,type_avion,consommation_carburant
0,B738,0.6729782401415765
13,A319,0.7812593043488731
14,A319,0.9579845345271988
15,A319,0.8147138012412657
16,A319,1.0603610652985027
17,A319,0.9332660482781896
18,A319,0.7979366505760096
19,A319,0.5551462717933254
20,A319,0.4886157662877571
23,A320,0.718617203597077
24,A320,0.8240384610555276
26,A320,0.7007723455385598
27,A320,0.7544541299232772
28,A320,0.6572978650984491
31,A321,0.9500244764748639
32,A321,0.7510079762511294
33,A321,1.0602178468795624
34,A321,0.8295495050305823
35,A321,0.953590936722375
36,A319,0.797891156895658
37,A319,0.7382412633633376
38,A319,0.7469581465191129
39,A319,0.7814528871339979
40,A319,0.48332516790991564
41,A319,0.8755947306198724
42,A319,0.5767952437374837
45,A321,0.7996763464390837
46,A321,0.7843941489298044
47,A321,0.8927653597452394
48,A321,0.9156174137863028
49,A321,0.9040376342261742
50,A321,0.7453463377850915
51,A321,1.0209818258190746
67,E190,0.7827606917975942
68,E190,0.585333217861745
69,E190,0.6106515900304641
70,E190,0.44234484755754344
71,A320,0.7110071012848399
72,A320,0.7553734416069599
73,A320,0.6944125367427895
74,A320,0.7843399371650575
75,A320,0.6664157859405013
76,A320,0.7079605380724648
77,A320,0.6680698433159133
78,A320,0.7572087600845012
80,A319,0.8806879905929594
81,A319,0.9290739489746292
82,A319,0.6982768376655779
83,A319,2.332302444285257
84,A319,0.8433876047391851
85,A319,0.8406349747269684
86,A320,0.8773293270759025
87,A320,0.5785129755829661
88,B752,1.1808788616865629
89,B752,1.3692335204851012
91,A320,0.4791827190821582
92,A320,0.7228438300386218
93,A320,0.69083810352849
94,A320,0.5520376705177202
95,A320,0.589057248243757
96,A320,0.7626315811981395
97,A320,0.6497514115367163
98,A320,0.7791295944223466
99,A320,0.6712354428664128
100,A319,0.7616540228730718
101,A319,0.7539432284345903
102,A319,2.323297250451375
103,A319,0.8356644921110793
104,A319,0.7493503056101954
105,A319,0.6925848193393858
106,A319,0.8149362755326914
107,A320,0.6695850763580365
108,A320,0.7469929520100563
109,A319,0.7837310217719913
110,A319,0.6341297396960746
111,A319,0.7203150396761137
112,A319,0.6136309787823889
113,E190,0.6131132643169236
114,E190,0.5596526077631492
115,A320,0.8638989225418671
116,A320,0.8721166649920946
117,B738,0.9164374766812615
118,B738,1.030606271961706
119,B738,1.0184998515097015
120,B738,0.7880138045889353
121,B738,0.732592517889508
122,B738,0.6666265635894332
123,B738,0.6481159881601124
124,B738,0.7262325076445824
125,B738,1.220414612025261
126,B738,1.0155872274433673
