,type_avion,consommation_carburant
0,A320,0.7392661463610294
1,A320,0.6708824868547042
2,A320,0.727440919182064
3,A320,0.7841168423353915
4,B738,0.734348535755129
5,B738,0.7180929661276813
6,B738,0.7561621206759483
7,B738,1.0401722092474344
14,A319,0.9612881996429654
15,A319,0.7465373828805146
16,A319,0.9615627655538648
17,A319,0.7276017927913687
18,A319,0.7379999893732848
19,A319,0.9732767172650508
24,A320,0.7449480065659344
25,A320,0.6776727775209647
26,A321,0.8712018798174532
27,A321,0.8577750592623309
28,A321,0.8337455320160498
29,A321,0.8820043822679698
30,A321,0.8495780964467775
31,A321,0.8283573143041055
32,A321,0.8320388251612365
33,A321,0.8724072059823132
34,A321,0.8517806228661461
35,A321,0.8728792777087699
36,A321,0.8563477550575145
37,A319,0.7823764742892516
38,A319,0.768786134506375
39,A319,0.7130690249802778
40,A319,0.7383189070419012
41,A319,0.7718080055388488
42,A319,0.7511020620255849
43,A319,0.7125286193571986
44,A319,0.7223902704359365
50,A321,0.9104774766112181
51,A321,0.8778094560707882
52,A321,0.9655406738998135
53,A321,0.7381848949127225
54,A321,0.7255621790289168
55,A321,0.9402605754578263
81,E190,0.5286942567846405
82,E190,0.7549687050471522
83,E190,0.42289674487974754
84,E190,0.5069365127406155
85,E190,0.6710630158136882
86,E190,0.5650955644689138
87,E190,0.7339437881243877
88,E190,0.5408527964961989
89,A320,0.6601143349937233
90,A320,0.7190370804796673
91,A320,0.7034840432844123
92,A320,0.6825420514091726
93,A320,0.6595015522313374
94,A320,0.6884880196870854
95,A320,0.681425902117079
96,A320,0.6609446466351115
97,A320,0.6798422379711814
98,A320,0.6814680512665101
99,A320,0.7439316806065923
100,A320,0.7448802630043839
101,A320,0.7142672691533329
111,A319,0.7544219138769861
112,A319,1.0456787945194945
113,A319,0.6997676191387003
114,A319,1.00153991299447
115,A319,0.9551511066095967
116,A319,0.7362100564393532
117,A319,0.8934205110599464
118,A319,0.7502292895347215
119,A319,0.7414946315456288
120,A319,0.8442796971965766
121,A320,0.6504531767473609
122,A320,0.9582953718100578
123,B752,1.209844342922424
124,B752,1.4289709767081298
125,A320,0.6843601452961499
126,A320,2.243949434900208
127,A320,0.5697329590749752
128,A320,0.546074771135351
129,A320,0.6837009613810416
130,A320,0.6548152626775054
131,A320,0.633149716017534
132,A320,0.722098155686371
133,A320,0.6531292889792085
134,A320,0.6773678612274112
135,A320,0.6782183744649991
136,A319,0.6903915097404483
137,A319,0.7017409578910138
138,A319,1.0383081292883418
139,A320,0.6558299799893198
140,A320,0.7130267560863746
141,A320,0.7260836920669193
142,A320,0.689127873471807
143,A320,0.7704672218665217
144,A320,0.6548584286845476
145,A319,0.789870263416394
146,A319,0.6876694929417319
147,A319,0.7018178787382253
148,A319,0.6293684456187976
149,A319,0.6066013489292591
150,A319,0.599554765342017
151,A319,0.6288063639303915
152,A319,0.7787808238031053
156,E190,0.5166005869062763
157,E190,0.5623803691569809
158,E190,0.566143164278476
159,E190,0.5067878302588023
160,E190,0.5488291570997869
163,A319,0.653320540769604
164,A319,0.5658505755732038
165,B738,0.7588805125028959
166,B738,0.8352463959482164
167,B738,0.6593937906446469
168,B738,0.7008012575419175
169,B738,0.7434705974658742
