,type_avion,consommation_carburant
0,E190,0.5396538344679039
1,E190,0.6235206002954717
2,B738,0.8797003015673557
3,B738,0.9628713589629548
4,B738,0.687244541613855
16,A319,0.8247977343711778
17,A319,0.712832991679242
18,A319,0.6648088993328277
19,A319,0.6575984260103637
20,A319,0.8101292438807278
21,A319,0.7880077664048731
22,A319,0.5963473376490099
23,A319,0.9451042897314882
24,A319,0.7923395574049463
25,A319,0.6009496277290287
32,A320,0.8486739041005957
33,A320,0.7186719598804101
34,A320,0.7558853359208267
35,A320,0.6787882311734764
36,A320,0.6919954063344378
37,A320,0.6657447965203217
38,A320,0.7110540302682055
39,A320,0.6755491215228013
40,A321,0.8572505355577911
41,A321,0.8323624457360916
42,A321,0.8572280202678374
43,A321,0.9277634864082441
44,A321,0.8202395096930176
45,A321,0.8105889541766856
46,A321,0.8510115001383307
47,A321,0.8343419920658672
48,A321,0.8733240074047485
49,A321,0.8863729994787111
50,A321,0.8989386908458464
51,A321,0.9330005164598081
52,A321,0.9263962158030647
53,A321,0.9235224789340576
54,A321,0.7449694547192062
55,A321,0.7590417536467129
56,A319,0.7759334328528349
57,A319,0.7021375144714042
58,A319,0.7627149516517672
59,A319,0.6104361237568882
60,A319,0.6552626554874288
61,A319,0.6249840980546707
62,A319,0.6353953034100562
63,A319,0.6151064830432497
64,A319,0.6412234180001705
65,A319,0.6608870858013857
66,A319,0.6322705261479481
67,A319,0.6381559049880383
68,A319,0.8350109660355238
69,A319,0.6363679966770207
70,A319,0.6308146202616217
71,A319,0.6703096744353269
75,A321,0.857045900508517
76,A321,0.7279574065598317
77,A321,0.7387921029475287
78,A321,0.853473046630642
79,A321,0.9187090053919383
80,A321,0.7509693129972415
81,A321,0.9133555567934919
112,A320,0.6757126862670176
113,A320,0.6949568654776135
114,A320,0.8670117453604227
115,A320,0.5436800850590927
116,A320,0.6914673014033045
117,A320,0.8937941740210379
118,A320,0.9263671149000524
119,A320,0.6672972699509206
120,A320,0.5876448101335093
121,A320,0.6691159434243926
122,A320,0.5426652242012742
123,A320,0.5424648633061993
124,A320,0.5722074085837422
125,A320,0.5384136587241387
126,A320,0.5887741964856603
127,A320,0.573943481697903
128,A320,0.6574500355470314
129,A320,0.5822825966320905
130,A320,0.5794521111722507
131,A320,0.564741655685021
132,A320,0.697549689266275
133,A320,0.5804735474092894
134,A320,0.7459438504558498
135,A320,0.5863464155640746
136,A320,0.6918874712813184
137,A320,0.6034612167756945
138,A320,0.7062159496400615
139,A320,0.6383523680112037
140,A320,0.696343227626274
153,A321,0.7431478263013493
154,A319,0.7969307853614837
155,A319,0.5876044143324759
156,A319,0.9708013102170014
157,A319,0.6345686900379278
158,A319,0.7767536501648483
159,A319,0.6432281644271097
160,A319,0.7732855780117066
161,A319,0.7531656285481299
162,A319,0.9774253248459781
163,A319,0.6402141340671941
164,A319,0.9861334361512526
166,A320,0.6149174691051352
167,A320,0.5757087780917651
168,B752,1.31364142538249
169,B752,1.3784446529621683
173,A320,0.6794358468406065
174,A319,0.8555046717847079
175,A319,0.7259419600932165
176,A319,0.628546209738711
177,A320,0.6846412478735745
178,A320,0.7111740769642251
179,A320,0.5821021863544683
180,A320,0.5865977548335987
181,A320,0.7850872484737383
182,A320,0.682387732586609
183,A320,0.5836403719703399
184,A319,0.6547795079537926
185,A319,0.5990716456626183
186,A319,0.8843010361556294
187,A319,0.6075616773960001
188,A319,0.6763827043811858
189,A320,0.5892035446497087
190,A320,0.6048349337046609
191,A320,0.5854970949440929
192,A320,0.5911378367388986
193,A320,0.556237854600708
197,A319,0.5912265282764834
198,A319,1.6845806139499104
199,A319,0.7226170625092305
200,A319,0.910769733087202
201,A319,0.6089169722942381
202,A319,0.7460967191810821
203,A319,0.8253774667722371
204,A319,0.7653204440925736
205,A319,0.6830482173264559
206,A319,0.7104419883978459
207,E190,0.5925968802455752
208,E190,0.4800195839036627
209,E190,0.5151899510224912
210,E190,0.46606789765489726
211,E190,0.46639626292705116
214,E190,0.5728794509399419
215,E190,0.4691206373420259
216,E190,0.4472350518397832
217,E190,0.46931138268880657
222,B738,0.780844374433837
223,B738,0.9458826710952833
224,B738,0.9814692294639988
225,B738,0.752562308987591
226,B738,0.9095160521531291
227,B738,0.7724569964568118
228,B738,0.7099493860519746
231,B738,1.0571085247100602
232,B738,0.836125018769869
