,type_avion,age_avion,nombre_passagers,consommation_carburant
0,B738,2006.0,162.0,0.6684382220529047
1,E190,2014.0,96.0,0.4537131868169959
2,A320,2013.0,145.0,0.6439927426888494
3,A320,2013.0,145.0,0.7417842322130211
4,B738,2000.0,,0.6443357123390256
5,B738,2000.0,,0.6898984699631988
6,A320,2013.0,178.0,0.7117021587589354
7,A320,2013.0,178.0,0.7752812476124844
8,A320,1999.0,,0.7291279264154733
9,A320,1999.0,,0.8037106254995231
12,A319,,,0.8132762264862761
13,A319,,,0.6320855738465048
14,A319,,,0.8187683228366434
15,A319,,,0.7642575962529163
16,A320,,,0.6389484099446675
17,A320,,,0.7468941746205652
21,A321,1994.0,,0.8358533449880519
22,A321,1994.0,,0.9279549860155379
23,A321,1994.0,,0.9085403908334336
24,A321,,,0.9439119111541975
25,A321,1995.0,,0.8420591827562003
26,A321,1995.0,,0.9755998205968075
27,A319,2000.0,,0.7895439154554269
28,A319,2000.0,,0.709531564552475
29,A319,2000.0,,0.8190791405270759
30,A319,2000.0,,0.8221893376219561
31,A319,2001.0,,0.7310905406988684
32,A319,2001.0,,0.6403037564761149
33,A319,2001.0,,0.7687879465943696
34,A319,2001.0,,0.8356521932006667
35,A321,2009.0,,0.8454575758052626
36,A321,2009.0,,0.86018778586677
37,A321,2009.0,,0.9821085139665174
38,A321,2010.0,,0.8339581323966136
56,A320,2010.0,182.0,0.7549217976848243
57,A320,2010.0,182.0,0.571279511863337
58,A320,2010.0,182.0,0.7196733048972163
59,A320,2010.0,182.0,0.6505005788771898
60,A320,2010.0,182.0,0.6729620119871886
61,A320,2010.0,182.0,0.5773585425217291
62,A320,2011.0,,0.7677393396365152
63,A320,2011.0,,0.6643790386847208
64,A320,2011.0,,0.6543655565201767
65,A320,2011.0,,0.8478780720304463
66,A320,2011.0,,0.6459251452936986
67,A320,2011.0,,0.6685735788983305
68,A320,2011.0,,0.6679883986484944
69,A320,2011.0,,0.6984918222863665
70,A320,2011.0,,0.7009832777979327
71,A320,2011.0,,0.668259134475064
72,A320,2011.0,,0.6964283619703777
73,A320,2011.0,,0.7424181028319636
74,A320,2011.0,,0.6525558496981145
75,A320,2011.0,,0.6537600620380278
94,A319,1996.0,138.0,0.7184053662595352
95,A319,1997.0,138.0,0.7613017961040922
96,A319,1997.0,138.0,0.7827876683144428
99,A320,2010.0,168.0,0.6954299735433337
100,A320,2010.0,168.0,0.5709512631395137
101,B752,,,1.3268010494137283
102,B752,,,1.5497568913485817
106,A321,2005.0,2.0,0.8723323757646876
107,A319,2006.0,156.0,0.6102179798134864
108,A319,2006.0,156.0,0.650668368424394
109,A320,2007.0,,0.6648531120205636
110,A320,2007.0,,0.7120835187453666
112,A320,,,0.7995020062853746
113,A320,,,0.6491345135057403
114,A320,,,0.6680985747388208
115,A320,,,0.7611099183076411
116,A319,2006.0,156.0,0.8012596104197249
117,A319,2006.0,156.0,0.578584745044555
118,A319,2006.0,156.0,0.7754446753793387
119,A319,2006.0,156.0,0.7207035486895399
120,A319,2006.0,156.0,0.7301237608498211
121,A319,2006.0,156.0,0.6325184721879603
122,A320,,,0.6596915601153331
123,A320,,,0.6763967088195851
124,A319,,,0.6808987499206989
125,A319,,,0.8004350231436498
126,A319,,,0.8441164748229744
127,A319,,,0.8943149348883892
128,A319,,,0.7431290711257652
129,A319,,,0.75512893080355
130,A319,,,0.7431625834862383
131,A319,,,0.7290205763605949
132,A320,,,0.6999138671077428
133,A320,,,0.7576864552096193
134,A320,,,0.6719851939650079
135,A320,,,0.7439060448692588
136,A320,,,0.70016523819519
137,A320,,,0.9191087158935541
138,A319,,,0.7181859351855784
139,A319,,,0.7141116273911635
140,A319,,,0.7717783589813062
141,A319,,,0.7787765956247203
142,E190,,,0.5965069483523507
143,E190,,,0.4876938089507072
144,E190,,,0.5238244168007608
145,E190,,,0.6216710767301551
146,E190,2011.0,106.0,0.4726547119544003
147,E190,2011.0,106.0,0.4899090546525763
148,E190,2011.0,,0.5187874881772986
149,E190,2011.0,,0.556559091863603
150,E190,2011.0,,0.5324052721448663
151,A321,2013.0,,0.9272758072481234
152,A321,2013.0,,0.8837162326653785
153,B738,2005.0,,0.7900450208749583
154,B738,2005.0,,0.8149834522418368
155,B738,2009.0,189.0,0.6708661249686413
156,B738,2009.0,189.0,0.693158496608629
157,B738,2009.0,189.0,0.8103449820069846
158,B738,2009.0,189.0,0.8030966801436684
159,B738,2010.0,189.0,0.6164466539242077
160,B738,2010.0,189.0,0.6373014093119943
161,B738,2010.0,189.0,0.7887445280032062
162,B738,2010.0,189.0,0.8441999725351879
163,B738,,,0.8454874827784271
164,B738,,,0.8446360790144284
165,B738,2017.0,189.0,0.9689433456205209
166,B738,2017.0,189.0,0.7170164110691554
167,B738,2017.0,189.0,0.7406480297516858
168,B738,2017.0,189.0,0.7385697706175289
169,B738,2017.0,189.0,0.6303803149323028
170,B738,2017.0,189.0,0.8488251363568529
171,B738,2017.0,189.0,0.9000766178153629
172,B738,2017.0,189.0,0.7015437213784402
