,type_avion,age_avion,nombre_passagers,consommation_carburant
0,A320,2012.0,168.0,0.590507418520184
1,A320,2012.0,168.0,0.723116240430582
2,E190,2014.0,,0.5731663280815306
3,E190,2014.0,,0.6068294819605998
4,B738,2011.0,,0.8309048759131371
5,B738,2011.0,,1.0064457445822104
9,A319,,,0.98814708518579
10,A319,,,0.7889284114924172
11,A319,,,0.7785136071065366
12,A319,,,0.7539406098279724
17,A321,1995.0,,0.8864002659080206
18,A321,1995.0,,1.0110766999989103
19,A319,2000.0,,0.6745555280378291
20,A319,2000.0,,0.66788006731254
21,A319,2001.0,,0.7219893791999529
22,A319,2001.0,,0.7340241040906453
25,A321,2008.0,,1.5531553510351856
26,A321,2008.0,,0.955430332650884
27,A321,2008.0,,0.7543474255347675
28,A321,2008.0,,0.8573410320130316
29,A321,2009.0,,0.7422368387889277
41,A320,2011.0,,0.5831630856549153
42,A320,2011.0,,0.7170703028212141
43,A320,2011.0,,0.6057508042752512
44,A320,2011.0,,0.7192596158422596
51,A319,,,0.7138887812621566
52,A319,,,0.870091374011639
53,A319,,,1.0675268260011161
54,A320,2014.0,,0.6174132061881318
55,B752,1999.0,,1.3801315117980641
56,A320,2008.0,,0.5619039269759144
57,A319,2006.0,156.0,0.8011259932063247
58,A319,2006.0,156.0,0.7942877311942125
59,A319,,,0.8441303213332277
60,A319,,,0.8619925519248923
61,A319,,,0.6745837011355809
62,A320,,,0.6739848770255844
63,A320,,,0.7208752974271082
64,A320,,,0.77338288586819
65,A320,,,1.4534794656063612
66,A320,,,0.6341798984782837
67,A320,,,0.5583784628810061
68,A320,,,0.7890596811484958
69,A320,,,0.7063932203487439
70,A319,,,0.5369853005877824
71,A319,2004.0,147.0,0.8631450744207461
72,A319,2004.0,147.0,0.8525725810276059
73,E190,2012.0,,0.5708668331250529
75,A320,2015.0,168.0,0.577779303064507
76,A320,2015.0,168.0,0.44708675104385487
77,B737,2010.0,129.0,2.44780356255564
78,B737,2010.0,129.0,0.7575990635992421
79,E190,,,0.5891275995659826
80,E190,,,0.503865420433403
81,E190,,,0.4623508803091246
82,E190,2011.0,106.0,0.45451020952522736
83,B738,2016.0,,0.8107471549128635
84,A320,2008.0,182.0,0.775958067979084
85,A320,2008.0,182.0,0.6698313167672175
86,B738,2010.0,189.0,0.7909339326643601
87,B744,2001.0,,4.163259049386983
88,B738,2018.0,189.0,1.0951599397628133
89,B738,2018.0,189.0,0.9617054844962003
90,B738,2017.0,189.0,0.670579568104107
91,B738,2017.0,189.0,0.9448368215739583
92,B738,2017.0,189.0,0.7818469617702646
