,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,A320,1824.001197764563,712.455215385968,0.4865547812391975,6.40065717958168,2.0772042416222045,0.1402291039699958
1,A320,1880.9919259031656,734.7158046557292,0.5017571348868396,6.934081726290537,2.0681827454295645,0.1494104840432209
2,A320,2051.076249286006,801.1507737763695,0.5471273577009356,8.497586898691146,2.9774571551225266,0.2837813988731701
3,A320,2580.1671547604733,1007.8137822659195,0.6882630708157496,13.281130945270366,2.0807529597571777,0.1878932905592183
4,A320,1829.772393566798,714.7094455659452,0.4880942555084504,6.458557314503071,2.094519431042683,0.14295746844219562
5,A320,1832.0789936871076,715.6104040124301,0.4887095442036109,6.428914294310822,2.065320681279257,0.13775892596473333
6,A320,2200.0257266955396,859.3304680328722,0.5868598318273275,9.913415168547875,2.9521680300638584,0.2869375621341913
7,A320,2330.491003446952,910.2902299903953,0.6216616204812454,11.045327445438566,2.368646446067423,0.21325464676602052
8,B738,2491.7344625579867,973.2719558419568,0.6646735308188971,12.427675090452349,1.9751895702674278,0.19119689721310795
9,B738,2979.0705000317316,1163.6255049345916,0.7946710765406969,16.78090962067011,1.493273656458764,0.15865936776488038
10,B738,2164.347206060049,845.3944310745821,0.5773425382948367,8.427357854342421,1.6026078700778903,0.12752725151811034
11,B738,2270.70302977717,886.9370360831762,0.6057130978129,9.309360463000127,1.6290005214913108,0.14129329713915142
12,B738,2535.2742231998795,990.2785946446023,0.6762878207328994,13.502086309934406,2.1769570687301405,0.21799845790635364
13,B738,3638.33049185732,1421.1325833548765,0.9705295691204031,24.857860708157975,1.5415752567877565,0.1967989053822416
14,B738,2159.5996950058084,843.5400523522212,0.576076133313712,8.389397018361196,1.6025883322710244,0.12721267098920483
15,B738,2155.542984330433,841.9555003894667,0.5749940002659775,8.358648094891429,1.6021622681664567,0.12692453613064866
30,A319,7332.287077117668,2863.9927293917863,1.9558974737309764,50.41382581331495,0.5845963255550827,0.046767706044406616
31,A319,2250.864223160652,879.1879944387442,0.6004210693728012,8.226218296554917,2.6567186204385753,0.07578659180651887
32,A319,2335.472056123711,912.2358301150082,0.6229903230053722,8.874853188058175,3.0393405473609207,0.10828823257507025
33,A319,2349.1674454903846,917.5852518111066,0.626643586602707,10.128282227491791,3.2579502645367358,0.12832951968296277
34,A319,2465.3356452315124,962.9605727642927,0.6576316106682975,9.905158655965485,2.77009063833662,0.08910596286299463
35,A319,2575.091364868175,1005.8311777668652,0.6869090970115177,10.726501828369818,2.638211251009404,0.08624185738649276
36,A319,2494.5610057749805,974.376004161075,0.6654275150368326,10.239651199708838,2.5593157334965606,0.07854001834252594
43,A320,2327.070209024576,908.954067037227,0.620749118952253,10.99501281482318,2.768751304952819,0.26646137165304234
44,A320,1847.449198610644,721.6140089841513,0.49280956711112767,6.471766802365089,2.0406298397656997,0.13368476911280583
45,A320,1860.8301574301995,726.8406140486329,0.49637895593565196,6.807256729159463,2.089899627114879,0.15097904625367908
46,A320,1831.5102715075473,715.3882610207307,0.4885578367946456,6.458602668541245,2.097718076276144,0.14300538350947584
47,A320,2039.6686718127783,796.6949718417646,0.5440843710138881,8.367145242011683,2.7342999527589607,0.2460387949838511
48,A320,2148.2301676510715,839.0991128011484,0.5730432965471258,9.239913887454682,2.9951089973571534,0.2874617029722005
49,A320,2132.0596397775666,832.7829015326802,0.568729786412561,9.321245568082976,2.7935972282325463,0.26086350442060247
50,A320,1826.4706348857792,713.4197779960331,0.48721350692412013,6.30810002228349,1.9774026582963602,0.12553575330416086
51,A320,1657.8639169680478,647.5619618516032,0.44223743736207055,5.218851820231516,1.819147358656844,0.11368196556108752
52,A320,1877.7894818630277,733.4649294034693,0.5009028786170036,6.584000246313544,1.9867030281643485,0.1312999203734271
53,A320,2129.745211741647,831.8788855008662,0.5681124096103469,9.540853521784408,2.671012922358396,0.2479096227925847
54,A320,1792.4711619229904,700.1395773786211,0.47814410162442417,6.0408230466831485,1.8351230644791028,0.11053706188214528
55,A320,2208.8580179721707,862.7803626884006,0.5892158574457371,9.698464161948454,2.7420058047604705,0.2545071959272941
56,A320,1906.227575099119,744.5728540399862,0.5084887783687709,6.877773745339314,2.0291633409549252,0.13520597165066595
57,A319,2126.7432320388766,830.7063116569764,0.567311627473057,6.839859259975748,2.475765212375243,0.04851443443615235
58,A319,2442.923780125481,954.2064939835958,0.6516532154034307,9.94540932692899,2.441456313380536,0.06520752008403234
59,A319,2462.3411099150344,961.7909066991085,0.6568328143310987,9.851115681641106,2.9651042295429,0.10298139871921635
60,A319,2051.6891616496255,801.3901774623814,0.5472908529011384,6.446868830224278,2.477368968999878,0.043093050111827236
61,A319,1947.9257034706934,760.8601509269458,0.5196118103891337,5.894265476489319,2.526805245952451,0.043047509702024346
62,A319,2255.9700220442583,881.1823204555212,0.6017830481159657,8.481400276797611,2.8794043997478918,0.08983298241207675
63,A319,2038.8001749866871,796.3557368160132,0.5438526983133747,6.4122435317202475,2.448981450210074,0.04949398885570598
64,A319,1900.3826471552402,742.2898240714342,0.5069296359512235,5.706194686838593,2.717174415566881,0.061741150310606965
65,A319,2409.4831910885696,941.1445935341183,0.6427328931452516,9.398240629701569,2.9138455396584497,0.09635443173329877
66,A319,2333.6802147183175,911.5359365206513,0.6225123468921514,9.108014153181824,2.8596088053369604,0.09181250494520049
67,A319,2344.7714332520504,915.8681685932116,0.6254709444051201,8.869272426566335,2.8336650173707905,0.09069978524785824
68,A319,2022.0482803803175,789.8124435909149,0.5393841078181862,6.195531858278385,2.3449604713707908,0.039378850819101384
69,A319,2034.413681539968,794.6423716399368,0.5426825952662983,6.383659613017236,2.4603816478552916,0.04947444272727937
