,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,B738,2099.199289989434,819.9476426443316,0.5599642437571043,8.100599878543967,1.9088360509274886,0.16256977383253968
1,B738,3019.835683332357,1179.5483932990792,0.8055452442042494,17.56317100385976,1.5410739879792117,0.16735125643099666
3,B738,2475.4534715536697,966.9125976535448,0.6603305544951035,12.650240777425692,1.9930859525253846,0.1944139779657212
4,B738,2797.961592299614,1092.8843310665368,0.7463600309722688,15.126668161692251,1.621464308422481,0.1626397943007825
11,A319,2029.8332824309548,792.8532668752209,0.5414607676221035,6.294590523953687,2.573098944339422,0.04820950506633011
12,A319,2660.598718774583,1039.230366494995,0.7097182990697528,11.510157386803954,2.478130348233232,0.07379263477765263
13,A319,2706.3327674297175,1057.0940946137032,0.7219179182727724,12.220782534255994,3.047551825280309,0.1205935449417255
14,A320,2437.6203353569995,952.1349674465251,0.6502385143537242,12.55151637517504,3.0944731080378087,0.31618174948642913
15,A321,2860.057036844516,1117.1388235372335,0.7629240746107928,17.16824674253964,2.164852325178264,0.23362471105439317
16,A319,2382.359953061542,930.5502515927891,0.6354977327950755,9.380233199229897,2.9175941233535094,0.09791734246177905
17,A319,2417.3116179413078,944.2023785544015,0.6448211365737374,9.915926040883248,2.9760258249590397,0.10479238064150577
18,A319,2149.0504204846297,839.4195037142256,0.5732621000975205,8.210692909370957,3.9492396481740344,0.17059511464747007
19,A321,1874.9557595887043,732.3580769431896,0.5001469793758371,6.241294224758315,3.1216069277773597,0.3175192642025932
20,A321,8458.869141232904,3304.0358982904,2.256414759808079,92.91118677392484,1.348366399780178,0.2696732799560357
21,A321,2701.2506626464765,1055.1090235170416,0.7205622599628584,15.074534911877222,2.307257988178736,0.24208456119864025
22,A321,2965.0164435501897,1158.1359877950879,0.7909221380064017,18.128257581657994,2.3112570703905484,0.25026027542328516
23,A321,2692.7190312980542,1051.7765666867604,0.7182864357860801,15.004669712568806,2.478260043503631,0.26579917994715235
24,A321,7557.676912299958,2952.0300419590176,2.0160205164598164,80.7450420736741,1.3569637389381621,0.2542050101254376
25,A321,2864.0401940301613,1118.6946454928845,0.7639865871658729,17.361371348340395,2.5065565307121385,0.2750243899315812
26,A321,3102.8880966854244,1211.9886817793176,0.8276995875566077,22.59968073370559,4.3595671059378915,0.49682740247017076
27,A321,2913.532957126692,1138.026528188578,0.7771888485190287,17.309025162341612,2.21286962056737,0.23608716040393596
29,B738,2737.761181914866,1069.370039299869,0.7303014902535684,14.302814900216474,1.7718823976756837,0.17332397571917205
30,B738,2147.404086837906,838.7764454781276,0.5728229383753068,8.725257721665308,1.899776848436203,0.16337004529043755
31,E190,1396.0627438629479,545.3023737540249,0.3724016211003099,3.806671858496968,2.619192338252886,0.10516244106479104
32,E190,1359.5419852646646,531.0373584869917,0.362659659454531,3.635765128450887,3.8204798886343094,0.26088636554660694
33,E190,2280.6776445663672,890.8331225203663,0.6083738397700061,10.24854635082523,2.819451534879182,0.1914923146588624
34,E190,1643.4761426211328,641.9420944502997,0.4383994791367899,5.477711860919922,2.9680325775931578,0.1749113798980244
35,E190,1133.1279557057935,442.5999954011196,0.3022634114934477,2.5645576373112697,5.277632000347127,0.43857858887356277
36,A320,7070.895772566538,2761.8932360294816,1.8861709904591577,62.31833472608598,1.1275103663399069,0.22550207326798133
37,A320,1996.1661029499137,779.7028601550949,0.532480002057138,8.071336449430703,2.98291832019771,0.2784288082770501
38,A320,2242.0771100636425,875.7557463887831,0.5980770950947788,11.01129556546222,3.656503023059985,0.386115610917053
39,A320,2221.4557644931147,867.7010448798121,0.5925763233325549,10.100190271640022,2.919248377048024,0.28190801424593437
40,A320,2099.915620724495,820.2274415659355,0.560155325947468,9.10807177463176,2.5391204200023036,0.22803690242092267
41,A320,1816.436318518494,709.5003721110662,0.4845368394904844,6.177744262694033,2.2576225173278934,0.16917071353345423
42,A320,2283.185192469484,891.8125712091016,0.6090427315574358,10.71572732719014,3.1031001552692348,0.3092551092173729
44,A319,2695.2542019102066,1052.7668048109097,0.7189626959684267,12.592635068625004,3.5119647333442483,0.1577639968674339
45,A319,3192.6964306901555,1247.067834153348,0.8516560818608229,16.328200512906616,2.6537851971120356,0.10610651625227896
46,A319,2504.430905242592,978.2311887737029,0.668060324040577,10.274745115642776,2.481922992376906,0.07067226819497276
47,A319,2349.54545711409,917.7329032233505,0.6267444217135072,9.390942427994027,3.3403976989643906,0.13194955191282098
48,A319,3026.6716871980643,1182.2185377115334,0.8073687574615354,14.954374840311889,2.625625711701367,0.09807678167432815
49,A319,2375.7585486469866,927.9717417706551,0.6337367992580086,10.25968601255676,4.030088691918714,0.18525737168675502
50,A319,2547.877733095568,995.2015280112875,0.6796498240077086,10.569943337875369,2.8582822016101606,0.09814330140975568
51,A319,2376.765024537501,928.3648714452609,0.6340052780601787,9.384925387618932,2.9392316849365963,0.09909195407481776
52,A320,1734.3080350217815,677.4210489288,0.4626290090245466,5.684913368603972,1.9221515699019192,0.11784738957613393
53,A320,1948.9819437317783,761.272718574178,0.5198935639043166,7.683933853653779,3.1695703063900704,0.3029650480425791
54,A320,2910.576775592677,1136.8718431181305,0.7764002831050648,18.14636737276528,4.883517725276893,0.5793119537337953
55,A319,2150.5858098339863,840.0192270866312,0.5736716672786749,7.021120519540925,2.8963691855288674,0.08470559789300278
56,A320,2310.6464909879787,902.5389596428124,0.6163680699999685,11.293519959557727,3.380784489185579,0.3510908720093992
57,A320,2172.711388136867,848.6614821874708,0.5795736951524195,9.666193485016276,3.164284926504701,0.3123103982251516
58,A320,2349.1433194602114,917.5758281791243,0.6266371509515966,11.570089271587369,3.0459081775514716,0.3067123367161106
59,A320,2491.0626955049383,973.0095635030402,0.664494336050857,12.91813874531634,2.568042411508552,0.2547042767891227
60,A320,1705.4232100550328,666.1386307931693,0.454923942980701,5.43030303287341,2.800378075742474,0.2435922883935866
61,A320,2163.174119073323,844.9362230740521,0.5770296157578891,9.744018495210083,2.934488014132309,0.2819568378288748
62,A320,3273.14779242468,1278.4921513757881,0.8731165911834651,22.179004784435815,4.703922972152277,0.573755793134188
63,A319,2584.531592495236,1009.5185324767031,0.6894272904718947,11.017849713796672,2.881047666506109,0.10040509976252027
64,A319,2859.2305914086037,1116.8160137925004,0.7627036191753663,14.200054353821887,3.565038739587261,0.1635679502965029
65,A319,2553.50903701439,997.4011163949494,0.6811519819282588,11.387648531362217,2.867722391348533,0.10304530780488602
66,A319,2532.540620377489,989.2108488613255,0.6755586284906608,11.05954969858417,3.236424827542772,0.12970534264360123
67,A319,1939.9373855463518,757.7399124236306,0.517480915801504,5.899847910557181,2.7595597160194085,0.06653299528006856
68,A319,2386.378641201183,932.1199519458414,0.6365697232800867,9.159838252921546,2.6612034196195684,0.07840322660390293
69,A319,1539.4513945862532,601.3100080473458,0.4106507372030655,3.9922642603039833,4.49006868584072,0.19726757417113724
70,A319,2315.111262169704,904.2829001170993,0.6175590537385068,9.178687735422537,3.159412654943255,0.11412461104501603
71,A319,1717.3607392831502,670.8014319842093,0.4581082950136063,5.631900821420629,6.031007663554473,0.3187047457032522
72,A319,2517.7911127209914,983.4496883603749,0.6716241774168413,10.545996838641543,3.085051152579793,0.11680352343940698
76,B738,3059.4774395318454,1195.0324708238072,0.8161197361723563,18.81552056026023,1.9261372924342086,0.21790040704577873
77,B738,2541.002408733844,992.5160250055969,0.6778158219550424,12.505258709822137,1.907141149464387,0.18157627118946446
78,B738,3458.1783777047112,1350.7651332412809,0.9224737495306311,22.355480715452906,1.5754086897075357,0.21370276968099028
79,B738,2296.3467894580235,896.9534935005933,0.6125536053174785,9.40762426485436,1.8027869047690162,0.1551037099040465
